PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description patch,Meta description patch status,Meta description length,No. of meta descriptions,Is indexable page
24,https://noctalia.app/en/dream-journal-apps,Best Dream Journal Apps and Noctalia Alternatives | Noctalia,text/html; charset=utf-8,false,200,0,0,"Compare Noctalia with dream journal apps such as DreamApp, Oniri, DreamKit, and Rosebud, and choose the right app for voice capture, AI interpretation, symbols, and lucid dreaming.",,,180,1,true
21,https://noctalia.app/en/blog/daylight-saving-time-sleep,Daylight Saving Time and Sleep: How the Clock Change Disrupts Your Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,"Daylight saving time disrupts your circadian rhythm, sleep architecture, and dreams. Learn about health risks, dream effects, and how to adapt your sleep schedule.",,,163,1,true
21,https://noctalia.app/en/blog/sleep-health-priority,Sleep Is Your #1 Health Lever: The OHSU Study That Changes Everything | Noctalia,text/html; charset=utf-8,false,200,0,0,An OHSU study reveals insufficient sleep outranks diet and exercise for life expectancy. Only smoking is worse. Learn why sleep is your most powerful health investment.,,,168,1,true
20,https://noctalia.app/fr/blog/perturbation-sommeil-printemps-reves,Perturbation du sommeil au printemps : comment les jours plus longs altèrent votre sommeil et vos rêves | Noctalia,text/html; charset=utf-8,false,200,0,0,"Les jours plus longs du printemps suppriment la mélatonine, perturbent le rythme circadien et modifient les rêves. Découvrez l'effet équinoxe et comment adapter votre sommeil.",,,175,1,true
20,https://noctalia.app/es/blog/controlar-suenos-resolucion-problemas,Controlar tus sueños para resolver problemas: el estudio que lo cambia todo | Noctalia,text/html; charset=utf-8,false,200,0,0,"El estudio de Northwestern 2026 muestra que la TMR puede dirigir los sueños hacia problemas específicos, duplicando la tasa de resolución. Descubre este avance científico.",,,171,1,true
20,https://noctalia.app/es/blog/ia-analisis-sueno-suenos,La IA que analiza tu sueño: la revolución SleepFM de Stanford | Noctalia,text/html; charset=utf-8,false,200,0,0,"Stanford publica SleepFM, una IA que predice Parkinson y cánceres a partir de una noche de sueño. Descubre cómo la IA transforma el análisis del sueño y los sueños.",,,164,1,true
20,https://noctalia.app/it/blog/tracker-sonno-wearable-sogni,Tracker del sonno wearable e sogni: cosa misurano e cosa sfugge loro | Noctalia,text/html; charset=utf-8,false,200,0,0,"Il 40 % delle persone monitora il sonno settimanalmente con dispositivi indossabili. Scopri cosa misurano davvero i tracker, i loro limiti di precisione e perché il diario dei sogni completa il quadro.",,,201,1,true
20,https://noctalia.app/de/blog/traumkontrolle-problemloesung,"Träume steuern zur Problemlösung: Die Studie, die alles verändert | Noctalia",text/html; charset=utf-8,false,200,0,0,"Die Northwestern-Studie 2026 zeigt, dass TMR Träume auf spezifische Probleme lenken kann und die Lösungsrate verdoppelt. Entdecken Sie diesen wissenschaftlichen Durchbruch.",,,172,1,true
20,https://noctalia.app/it/blog/ora-legale-sonno-sogni,Ora legale e sonno: come il cambio dell'ora altera i tuoi sogni | Noctalia,text/html; charset=utf-8,false,200,0,0,"L'ora legale altera il ritmo circadiano, l'architettura del sonno e i sogni. Scopri i rischi per la salute, gli effetti sui sogni e come adattare il tuo ritmo di sonno.",,,168,1,true
20,https://noctalia.app/de/blog/schlaf-tracker-wearables-traeume,Schlaf-Tracker und Tr&auml;ume: Was Wearables messen und was ihnen entgeht | Noctalia,text/html; charset=utf-8,false,200,0,0,"40 % der Menschen tracken ihren Schlaf wöchentlich mit Wearables. Erfahren Sie, was Schlaf-Tracker wirklich messen, wo ihre Grenzen liegen und warum ein Traumtagebuch das Bild vervollständigt.",,,192,1,true
