page,entryId,lang,sourceFile,title,description,clicks,impressions,ctr,position
https://noctalia.app/fr/blog/reves-de-voler,blog.flying-dreams-meaning,fr,docs-src/content/blog/blog.flying-dreams-meaning/fr.md,Rêves de voler : signification psychologique profonde - Noctalia,Pourquoi rêvez-vous de voler ? Explorez la psychologie des rêves de vol et ce qu'ils révèlent sur votre liberté et vos ambitions.,2,101,0.019801980198019802,21.128712871287128
https://noctalia.app/de/blog/leitfaden-zum-klartraeumen-fuer-anfaenger-uebernehmen-sie-die-kontrolle-ueber-ihre-naechte,blog.lucid-dreaming-beginners-guide,de,docs-src/content/blog/blog.lucid-dreaming-beginners-guide/de.md,Klares Träumen: Meistere die Traumkontrolle heute Abend | Noctalia,"Kontrollieren Sie Ihre Träume mit MILD, WILD und WBTB. Lernen Sie Realitätschecks, Stabilisierungsmethoden und Tipps für luzides Träumen.",1,59,0.01694915254237288,45.389830508474574
https://noctalia.app/de/blog/wiederkehrende-traeume-bedeuten-ihre-verborgenen-botschaften-verstehen,blog.recurring-dreams-meaning,de,docs-src/content/blog/blog.recurring-dreams-meaning/de.md,Wiederkehrende Träume: 10 häufigste Träume und Bedeutungen | Noctalia,Gefangen in derselben Traumschleife? Entschlüsseln Sie die 10 häufigsten wiederkehrenden Träume und die Botschaft Ihres Unterbewusstseins.,1,180,0.005555555555555556,30.461111111111112
https://noctalia.app/en/blog/dream-interpretation-history,blog.dream-interpretation-history,en,docs-src/content/blog/blog.dream-interpretation-history/en.md,Dream Interpretation History: Ancient to Modern Guide | Noctalia,"Explore the history of dream interpretation from Mesopotamia, Egypt and Greece to Freud, Jung and modern neuroscience.",1,2565,0.0003898635477582846,36.10604288499025
https://noctalia.app/en/blog/pregnancy-dreams-meaning,blog.pregnancy-dreams-meaning,en,docs-src/content/blog/blog.pregnancy-dreams-meaning/en.md,Pregnancy Dreams: Hidden Meanings Decoded | Noctalia,"Not pregnant but dreaming of babies? Explore what pregnancy dreams symbolize, from new beginnings to creativity. Understand why these powerful dreams visit you.",1,1783,0.0005608524957936063,35.61974200785193
https://noctalia.app/es/blog/historia-interpretacion-suenos,blog.dream-interpretation-history,es,docs-src/content/blog/blog.dream-interpretation-history/es.md,Interpretación de Sueños: 5000 Años de Historia | Noctalia,Viaja desde los templos egipcios hasta la neurociencia moderna. Descubre cómo las culturas decodifican el lenguaje onírico.,1,368,0.002717391304347826,28.891304347826086
https://noctalia.app/fr/blog/histoire-interpretation-reves,blog.dream-interpretation-history,fr,docs-src/content/blog/blog.dream-interpretation-history/fr.md,Interprétation des rêves : 5 000 ans d'histoire | Noctalia,Des temples antiques aux neurosciences modernes : explorez l'évolution fascinante de l'interprétation des rêves à travers les cultures.,1,226,0.004424778761061947,39.63274336283186
https://noctalia.app/it/simboli/fuoco,symbol.fire,it,data/dream-symbols.json,,,1,148,0.006756756756756757,12.783783783783784
https://noctalia.app/,page.home,en,docs-src/content/pages/page.home/en.md,Noctalia: Dream Journal with AI Interpretation,"Noctalia is a private dream journal app for recording dreams, exploring symbols, generating dream images and understanding nightly patterns.",0,323,0,53.811145510835914
https://noctalia.app/de/,page.home,de,docs-src/content/pages/page.home/de.md,Noctalia: Traumtagebuch mit KI-Deutung,"Noctalia ist eine private Traumtagebuch-App zum Aufzeichnen von Träumen, Erkunden von Symbolen und Verstehen nächtlicher Muster.",0,9,0,34
https://noctalia.app/de/agb,legal.terms,de,docs-src/content/pages/legal.terms/de.md,AGB: Nutzungsbedingungen der App | Noctalia,"Nutzungsbedingungen (AGB) der Noctalia-App: Zugriff, Abonnements, zulässige Nutzung, geistiges Eigentum, Datenschutz und Kontakt.",0,1,0,19
https://noctalia.app/de/blog/,blog.index,de,docs-src/content/blog/blog.index/de.md,Ressourcen | Noctalia – Traumtipps und Anleitungen,"Entdecken Sie Noctalia-Ressourcen zum Thema Träume: Erinnerungstechniken, Symbolbedeutungen, klares Träumen, Schlafwissenschaft und mehr.",0,26,0,33.76923076923077
https://noctalia.app/de/blog/albtraeume-hitze-stress,blog.heat-stress-nightmares,de,docs-src/content/blog/blog.heat-stress-nightmares/de.md,Albträume bei Hitze oder Stress: Was hilft? | Noctalia,"Hitze und Stress können den Schlaf unterbrechen und Albträume stärker wirken lassen. Lesen Sie, was abends, nach dem Aufwachen und bei häufigen Episoden hilft.",0,1,0,71
https://noctalia.app/de/blog/dream-journaling-der-vollstaendige-leitfaden-zum-aufzeichnen-ihrer-naechtlichen-abenteuer,blog.dream-journal-guide,de,docs-src/content/blog/blog.dream-journal-guide/de.md,Traumtagebuch: einfache Methode für heute Abend | Noctalia,"Wie Sie ein Traumtagebuch führen, was Sie nach dem Aufwachen notieren und wie Sie die Traumerinnerung verbessern, ohne die Morgenroutine zu belasten.",0,114,0,42.771929824561404
https://noctalia.app/de/blog/hitzewelle-schlaf-traeume,blog.heatwave-sleep-dreams,de,docs-src/content/blog/blog.heatwave-sleep-dreams/de.md,Hitzewelle und Schlaf: lebendige Träume | Noctalia,"Hitzewelle und Schlaf: warum heiße Nächte Wachmomente auslösen, die Traumerinnerung verändern und Fragmente lebendiger wirken lassen.",0,22,0,29.636363636363637
https://noctalia.app/de/blog/naechtlicher-laerm-schlaf-traeume,blog.night-noise-sleep-dreams,de,docs-src/content/blog/blog.night-noise-sleep-dreams/de.md,"Nächtlicher Lärm, Schlaf und Träume: fragmentierte Nächte verstehen | Noctalia","Straßenlärm, Nachbarn, Hotel oder Klimaanlage: wie Mikro-Erwachen die Traumerinnerung verändert und was Sie morgens notieren können.",0,1,0,17
https://noctalia.app/de/blog/so-erinnern-sie-sich-an-ihre-traeume-10-effektive-techniken,blog.how-to-remember-dreams,de,docs-src/content/blog/blog.how-to-remember-dreams/de.md,So erinnern Sie sich an Träume: 10 praktische Techniken | Noctalia,"Zehn praktische Gewohnheiten zur Traumerinnerung: langsam aufwachen, Fragmente notieren, eine Abendabsicht setzen und den Schlaf schützen.",0,23,0,45.91304347826087
